dataset,frame,sample_idx,agl_m,zoom,gyro_mag,blur_score,texture_score,kp_query,kp_window,matches,inliers,cleared_min_inliers,note
isaac-sim-20260630_152940,1690,168,10.055,18,0.20500355608038268,178.50965117618813,182.02305275796343,5,1602,0,0,False,
isaac-sim-20260630_152940,13660,1365,69.32260000000001,18,0.08725597605702905,715.8834670951937,206.42399907541576,1556,1576,50,30,True,
isaac-sim-20260630_152940,25630,2562,69.5826,18,0.2330847872692477,1063.694007156874,172.9082043201501,1205,1586,34,11,False,
isaac-sim-20260630_152940,37610,3760,71.1416,18,0.12055820938982653,589.183652999129,155.99697116941212,1560,1547,190,75,True,
isaac-sim-20260630_152940,49580,4957,71.8768,18,0.1225877592525162,598.378786802659,162.86280270067957,1634,1588,296,228,True,
isaac-sim-20260630_152940,61550,6154,75.5196,18,0.028206507686171393,478.461760650894,164.70277265380156,1521,1520,135,60,True,
isaac-sim-20260630_152940,73530,7352,78.2978,18,0.031885535628113304,531.2754693830897,167.3905043470747,1710,1531,208,88,True,
isaac-sim-20260630_152940,85500,8549,79.1116,18,0.05222208806340678,566.1639838922526,153.65176154804124,1723,1653,195,101,True,
isaac-sim-20260630_152940,97470,9746,79.72,18,0.268135721124407,487.9575815348639,152.73929420213284,1655,1621,205,136,True,
isaac-sim-20260630_152940,109440,10943,86.571,18,0.20777829470337036,530.6452659720293,128.7364687010215,1632,1631,286,157,True,
isaac-sim-20260630_152940,121410,12140,85.55760000000001,18,0.10064483825458218,530.8659375538194,149.82980158701235,1691,1674,264,183,True,
isaac-sim-20260630_152940,133390,13338,88.0184,18,0.211391144643816,679.5009176214525,125.76969991959169,1709,1641,286,187,True,
isaac-sim-20260630_152940,145360,14535,86.9298,18,0.12626098723962004,482.6297469627429,106.60385243609113,1683,1610,273,159,True,
isaac-sim-20260630_152940,157330,15732,89.27539999999999,18,0.22970427645189576,529.2692739088269,102.31566072728303,1726,1641,367,317,True,
isaac-sim-20260630_152940,169310,16930,97.2122,18,0.2315364702765467,534.0352637254502,136.46271766392832,1627,1634,28,11,False,
isaac-sim-20260630_152940,180010,18000,99.282,18,0.2231148256640622,538.650274657525,126.56558837829114,1678,1639,47,32,True,
isaac-sim-20260630_152940,181280,18127,97.4712,18,0.09642701587412568,522.7671856562229,117.54424300920624,1673,1633,83,47,True,
isaac-sim-20260630_152940,187800,18779,96.6854,18,0.10657532898004858,475.1614620857899,132.5086313138699,1703,1650,35,19,False,
isaac-sim-20260630_152940,193250,19324,99.8416,18,0.23160663917732968,524.8326354162326,121.87522390734827,1619,1644,144,86,True,
isaac-sim-20260630_152940,195580,19557,101.0352,18,0.04844968255588234,634.7157389843479,119.22909814929703,1651,1618,195,95,True,
isaac-sim-20260630_152940,203370,20336,100.1146,18,0.07315091177968013,641.443200419919,139.11125789581467,1646,1577,90,60,True,
isaac-sim-20260630_152940,205220,20521,98.1164,18,0.12833511472197937,692.6325990034692,138.81537910990502,1573,1587,72,45,True,
isaac-sim-20260630_152940,211160,21115,99.5148,18,0.0494808475819946,765.7397386971179,138.10475441751862,1620,1638,56,37,True,
isaac-sim-20260630_152940,217190,21718,100.6686,18,0.11088148220467772,826.0506305998957,130.6690087439434,1627,1655,53,29,False,
isaac-sim-20260630_152940,218950,21894,100.7696,18,0.13096285902391067,891.8754604586105,128.28909751461703,1610,1667,46,33,True,
isaac-sim-20260630_152940,226730,22672,100.0368,18,0.10252120572267552,703.9679972307098,112.0232901479591,1618,1623,140,81,True,
isaac-sim-20260630_152940,229170,22916,99.0688,18,0.11681045404734743,660.4376537619328,110.9839095152591,1648,1640,29,18,False,
isaac-sim-20260630_152940,234520,23451,100.3198,18,0.06893197693137713,592.7400317440653,103.5782276353474,1699,1581,115,62,True,
isaac-sim-20260630_152940,241140,24113,98.4866,18,0.27122650385166247,670.93478115046,122.59886695237704,1616,1577,68,49,True,
