dataset,frame,sample_idx,agl_m,zoom,gyro_mag,blur_score,texture_score,kp_query,kp_window,matches,inliers,cleared_min_inliers,note
isaac-sim-20260706_105804,1672,208,10.0268,19,0.2633279755278652,70.39301019072808,491.3012300371807,42,1624,1,0,False,
isaac-sim-20260706_105804,11512,1387,98.1428,19,0.44035225971439756,559.1797480841742,491.9044784508191,1668,1623,10,4,False,
isaac-sim-20260706_105804,22592,2565,89.974,19,0.14635044599025754,334.91280318641196,580.0756089553414,1662,1603,21,5,False,
isaac-sim-20260706_105804,35264,3744,90.36919999999999,19,0.1884056617164654,342.08825751832563,732.7684197173162,1642,1497,17,5,False,
isaac-sim-20260706_105804,45072,4922,98.1476,19,0.1388762270634013,373.38394671219135,640.440194174463,1735,1586,6,0,False,
isaac-sim-20260706_105804,54504,6101,96.121,19,0.13798126698624807,408.2473929832055,687.0732265406851,1680,1541,2,0,False,
isaac-sim-20260706_105804,63928,7279,87.0566,19,0.22039218999179608,525.497786970242,744.1330545651772,1716,1555,5,0,False,
isaac-sim-20260706_105804,73360,8458,84.642,19,0.11056574297709458,402.2748026077082,593.0222822262983,1685,1630,22,6,False,
isaac-sim-20260706_105804,83856,9636,84.469,19,0.09733384752085035,343.24569842650163,629.9964601029451,1680,1702,338,184,True,
isaac-sim-20260706_105804,94904,10815,82.8526,19,0.22975145977734085,433.91972116589506,1103.0473129247764,1640,1669,326,198,True,
isaac-sim-20260706_105804,104480,11993,83.9334,19,0.11964356832064695,449.68095985937504,630.446522099556,1679,1718,137,59,True,
isaac-sim-20260706_105804,113912,13172,82.853,19,0.07844938547445776,906.7061116965392,1093.6495610341576,1524,1531,22,6,False,
isaac-sim-20260706_105804,123336,14350,80.757,19,0.11568764668485754,473.3449985483097,1181.3756348049424,1665,1769,279,180,True,
isaac-sim-20260706_105804,132768,15529,79.6862,19,0.0658837062488311,508.9920112492285,1690.6964859524835,1677,1672,59,22,False,
isaac-sim-20260706_105804,142200,16708,80.3132,19,0.11791859499033229,489.75219717515427,1727.953268185509,1669,1606,290,174,True,
isaac-sim-20260706_105804,151624,17886,82.249,19,0.14589533825147305,297.62486066572325,1544.7199511047913,1659,1534,202,61,True,
isaac-sim-20260706_105804,161056,19065,82.12,19,0.16194743583747012,541.8247039398601,2365.9825750626005,1667,1602,14,5,False,
isaac-sim-20260706_105804,170480,20243,83.0676,19,0.11841484292878833,540.1277491119762,5544.5862977808165,1612,1466,6,0,False,
isaac-sim-20260706_105804,181048,21422,80.613,19,0.20653259249130393,422.9747576388889,1973.1615550441766,1674,1616,292,191,True,
isaac-sim-20260706_105804,190472,22600,89.3898,19,0.11395964754586507,481.12389514250265,3874.964548962037,1695,1528,8,5,False,
isaac-sim-20260706_105804,199904,23779,89.4386,19,0.10545260573659132,440.90525069135805,2228.5083849057796,1649,1702,37,22,False,
isaac-sim-20260706_105804,209328,24957,90.995,19,0.024504897850799234,420.64410463755974,1889.6042528690125,1604,1616,10,5,False,
isaac-sim-20260706_105804,218760,26136,93.3132,19,0.1068938865068941,501.2017238881174,1464.5685345802096,1699,1693,11,5,False,
isaac-sim-20260706_105804,228184,27314,94.76140000000001,19,0.08712914579935083,515.5307075693358,1802.3479586758297,1709,1696,32,14,False,
isaac-sim-20260706_105804,237616,28493,94.011,19,0.08264769534029073,491.55041703182565,2110.800609394877,1649,1626,82,51,True,
